Australian Bureau of Statistics

"2011 Census - Employment, Income and Unpaid Work"
"LGA by OCCP - 2 Digit Level"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default summation","Persons, Place of Usual Residence"

"OCCP - 2 Digit Level","Managers nfd","Chief Executives, General Managers and Legislators","Farmers and Farm Managers","Specialist Managers","Hospitality, Retail and Service Managers","Professionals nfd","Arts and Media Professionals","Business, Human Resource and Marketing Professionals","Design, Engineering, Science and Transport Professionals","Education Professionals","Health Professionals","ICT Professionals","Legal, Social and Welfare Professionals","Technicians and Trades Workers nfd","Engineering, ICT and Science Technicians","Automotive and Engineering Trades Workers","Construction Trades Workers","Electrotechnology and Telecommunications Trades Workers","Food Trades Workers","Skilled Animal and Horticultural Workers","Other Technicians and Trades Workers","Community and Personal Service Workers nfd","Health and Welfare Support Workers","Carers and Aides","Hospitality Workers","Protective Service Workers","Sports and Personal Service Workers","Clerical and Administrative Workers nfd","Office Managers and Program Administrators","Personal Assistants and Secretaries","General Clerical Workers","Inquiry Clerks and Receptionists","Numerical Clerks","Clerical and Office Support Workers","Other Clerical and Administrative Workers","Sales Workers nfd","Sales Representatives and Agents","Sales Assistants and Salespersons","Sales Support Workers","Machinery Operators and Drivers nfd","Machine and Stationary Plant Operators","Mobile Plant Operators","Road and Rail Drivers","Storepersons","Labourers nfd","Cleaners and Laundry Workers","Construction and Mining Labourers","Factory Process Workers","Farm, Forestry and Garden Workers","Food Preparation Assistants","Other Labourers","Total",
"LGA",
"Gladstone (R)",94,117,290,1167,947,18,52,637,983,974,681,76,167,126,991,2473,819,1065,242,161,443,0,231,857,417,269,229,20,648,182,755,360,612,190,517,6,326,1616,398,96,1888,560,1096,226,131,814,1061,259,180,396,800,27688,
"Gold Coast (C)",1005,2331,349,12952,11924,375,1876,9575,5128,8937,9583,2012,2825,401,4183,5511,9313,4634,4344,2655,4634,20,2043,8288,7264,2851,4703,255,5287,2758,6378,5662,7563,1827,3924,148,6851,17364,5073,166,2643,1766,5600,1674,527,6475,4474,2281,1159,3436,4327,227335,
"Goondiwindi (R)",14,21,774,163,213,0,10,79,95,192,139,5,27,9,41,215,84,62,79,70,52,0,56,229,86,32,25,0,90,33,133,52,140,34,65,0,39,279,60,10,115,182,229,21,26,163,79,78,257,69,77,4984,
"Gympie (R)",34,77,922,576,789,10,57,316,276,721,569,43,146,28,272,789,507,347,265,184,285,0,195,925,321,157,165,13,343,125,435,267,448,164,233,5,215,1207,274,37,500,355,650,84,72,507,340,583,543,274,398,17037,
"Hinchinbrook (S)",3,18,510,123,172,3,10,93,97,230,150,4,31,13,87,306,149,109,89,28,89,0,44,299,56,38,31,5,64,54,140,56,139,32,39,0,35,359,53,16,118,262,252,16,35,154,93,102,128,84,105,5131,
"Hope Vale (S)",0,11,0,6,9,0,5,8,0,9,7,0,6,0,0,10,11,3,3,10,5,0,5,23,0,0,0,0,9,0,12,3,4,6,4,0,0,8,0,0,5,6,3,0,0,12,31,0,20,0,3,269,
"Ipswich (C)",208,346,161,3306,2569,105,223,2265,1342,2362,2439,708,746,158,1591,4051,2032,1470,904,648,1239,17,1091,3818,1036,1807,692,134,1787,615,2327,1699,2442,776,1926,21,1069,4653,1276,99,1600,1434,2812,1446,308,1881,1203,3286,448,1118,1609,73301,
"Isaac (R)",23,31,663,440,287,6,11,177,474,369,216,13,32,28,434,1091,163,423,187,68,94,0,57,252,155,53,40,12,190,55,380,99,187,94,134,0,53,395,146,44,1966,269,571,80,34,442,201,31,289,174,215,11839,
"Kowanyama (S)",0,6,4,5,11,0,0,0,4,19,6,0,3,0,0,9,23,3,7,3,0,0,13,25,0,13,0,0,4,0,10,3,0,3,4,0,0,6,4,0,0,0,14,3,3,18,15,0,41,0,16,286,
"Lockhart River (S)",0,4,0,8,4,0,3,6,3,17,0,0,0,0,0,0,12,0,0,0,0,0,14,18,0,8,0,0,0,0,0,0,0,0,6,0,0,5,3,0,5,0,3,3,3,3,10,0,8,0,9,149,
